,latent_vector,label,filename
103,"[0.32669696, -2.579359, 2.8567343, 1.0262425, 0.43948016, 2.7503738, -2.319537, -0.58489907, 0.15029886, -3.842915]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_134.nc
104,"[0.8689584, -0.76512516, 1.0826793, -0.33562464, 1.2981303, 1.0007317, -0.084685266, -1.6535305, 0.9978223, -0.852203]",4,../data/subset-copy/eastpac2_goes16_2017_331_1900_014.nc
105,"[0.5296692, 0.98772705, -0.9588059, -0.7051209, -0.16481847, -1.1695582, 0.63982713, 0.889598, 0.059802637, 0.17860118]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_141.nc
106,"[0.47832775, -2.6611428, 2.531474, -0.08120671, -0.35222268, 1.923497, -1.245878, -2.2982872, 0.23942076, 1.6408556]",4,../data/subset-copy/eastpac2_goes16_2017_331_1900_056.nc
107,"[0.27368507, 0.07594594, 0.37846252, -0.15909493, 0.63416326, 0.538945, 0.30242518, -1.1986125, 0.5425842, 0.057361133]",4,../data/subset-copy/eastpac2_goes16_2017_331_1900_032.nc
108,"[-1.608541, 0.17244741, 0.3152853, 0.28335208, 0.91108114, 1.0902478, -0.6178954, -0.088692635, -0.022829086, -1.119261]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_213.nc
109,"[-0.5793493, 0.36863017, 0.21974647, 0.29462236, 1.5227814, 0.89814174, -0.48930585, 0.028342843, -0.17522036, -1.8802205]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_128.nc
110,"[0.85412884, 0.49583197, -0.45739585, -0.57724905, 0.4965222, -0.5050726, 0.78360975, -0.42948824, -0.0006815493, 1.3249874]",7,../data/subset-copy/eastpac2_goes16_2017_331_1900_065.nc
111,"[0.16943994, 0.52182496, -0.5833293, -0.74545765, 0.70717555, -0.6277847, 0.73710465, 0.34032992, 0.26767948, 0.4712261]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_201.nc
112,"[-0.7872376, 0.41510856, -0.6137827, -0.8247242, 1.6122714, -0.46929166, 0.6436514, 1.0457135, 1.1828363, -0.9815626]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_017.nc
113,"[-0.94574, 0.140742, 0.5118623, 0.13010277, 1.2493838, 1.13352, -0.52855563, -0.46038872, 0.3061084, -1.603203]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_027.nc
114,"[0.26239657, -0.14685893, 1.0594621, 1.3514841, -2.0993223, 1.1683158, -0.99015456, -0.48126528, -1.4653063, 0.614889]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_212.nc
115,"[1.3344297, 0.48073542, 0.095068246, -0.05585052, 1.2681115, 0.09487605, 0.37436986, -0.34088582, -0.6347366, -0.52376103]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_112.nc
116,"[0.07591288, 0.7396255, -0.517401, -0.5221495, 0.5885634, -0.47101226, 0.54267025, 0.28430977, 0.34217975, 0.0040132254]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_092.nc
117,"[-1.5256705, 0.8044244, -0.55019057, -0.44988823, 0.72684175, -0.12539104, 0.29645494, 0.45491782, 0.6331342, -0.3605729]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_159.nc
118,"[-1.2924001, -1.6878177, 1.7381619, 0.86745936, -1.2271212, 1.9342048, -1.3194122, -1.0717018, 1.326531, -0.60853493]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_255.nc
119,"[0.35475275, 0.77150524, -0.04474722, 0.3159622, 0.6941363, 0.19696744, -0.06289762, 0.37087247, -1.2746427, -0.8920852]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_167.nc
120,"[1.1172175, -0.9416467, 1.5484412, 0.3495342, 1.8224804, 1.6316141, -1.0530672, -1.039325, -0.51435196, -2.5385]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_039.nc
121,"[0.4928413, 1.2109559, -0.65073097, -0.37411118, 0.33396366, -0.82052624, -0.018101066, 1.1224638, -1.0651909, -0.7266309]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_140.nc
122,"[0.828401, 0.29892707, -0.86154985, -0.9349953, 0.286188, -1.1405942, 1.2517755, 0.23808572, 0.53147507, 1.3355263]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_221.nc
123,"[0.45637178, -1.125115, 1.4358635, 0.3149618, -0.025847971, 1.3709533, -0.7122312, -1.517686, 0.40050268, -0.2107347]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_149.nc
124,"[-0.5500009, 1.1001186, -0.99146783, -0.7563986, 0.3681386, -1.1053033, 0.24688186, 1.5556753, 0.41290122, -0.7708279]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_025.nc
125,"[-0.9904448, 0.5150636, 0.0036827326, 0.87943214, -1.3919488, 0.53079414, -0.23905945, -0.12176219, 0.35337412, 0.4709453]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_010.nc
126,"[1.4388626, 0.40475988, 0.49124417, 0.574957, 0.5844663, 0.5891746, -0.21312827, -0.4612672, -1.5801971, -0.85475934]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_181.nc
127,"[0.4486028, -1.3951354, 2.0117915, 1.2359076, -0.006275952, 2.0474522, -1.6795027, -0.4537099, -1.0808957, -2.2348878]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_148.nc
128,"[0.13026017, 1.0391128, -0.18550682, 0.22383554, 1.0420179, -0.060596406, -0.39544332, 1.3801206, -2.1610694, -2.1506991]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_069.nc
